"","Active cases"
"02/04","159"
"03/04","145"
"04/04","143"
"05/04","149"
"06/04","144"
"07/04","154"
"08/04","140"
"09/04","129"
"10/04","128"
"11/04","126"
"12/04","127"
"13/04","142"
"14/04","149"
"15/04","147"
"16/04","136"
"17/04","146"
"18/04","154"
"19/04","171"
"20/04","171"
"21/04","182"
"22/04","198"
"23/04","226"
"24/04","235"
"25/04","235"
"26/04","249"
"27/04","255"
"28/04","266"
"29/04","280"
"30/04","293"
"01/05","284"
"02/05","261"
"03/05","247"
"04/05","247"
"05/05","243"
"06/05","240"
"07/05","230"
"08/05","211"
"09/05","212"
"10/05","205"
"11/05","191"
"12/05","177"
"13/05","170"
"14/05","159"
"15/05","158"
"16/05","157"
"17/05","153"
"18/05","126"
"19/05","122"
"20/05","116"
"21/05","103"
"22/05","95"
"23/05","80"
"24/05","81"
"25/05","85"
"26/05","93"
"27/05","93"
"28/05","98"
"29/05","99"
"30/05","103"
"31/05","110"
"01/06","117"
"02/06","119"
"03/06","123"
"04/06","122"
"05/06","126"
"06/06","137"
"07/06","136"
"08/06","140"
"09/06","133"
"10/06","134"
"11/06","127"
"12/06","123"
"13/06","125"
"14/06","122"
"15/06","115"
"16/06","124"
"17/06","130"
"18/06","135"
"19/06","134"
"20/06","140"
"21/06","154"
"22/06","159"
"23/06","174"
"24/06","196"
"25/06","211"
"26/06","221"
"27/06","246"
"28/06","273"
"29/06","299"
"30/06","319"
"01/07","340"
"02/07","375"
"03/07","415"
"04/07","423"
"05/07","456"
"06/07","475"
"07/07","486"
"08/07","515"
"09/07","546"
"10/07","594"
"11/07","658"
"12/07","773"
"13/07","850"
"14/07","929"
"15/07","984"
"16/07","1065"
"17/07","1161"
"18/07","1268"
"19/07","1360"
"20/07","1452"
"21/07","1583"
"22/07","1697"
"23/07","1834"
"24/07","1979"
"25/07","2122"
"26/07","2272"
"27/07","2437"
"28/07","2627"
"29/07","2859"
"30/07","2847"
"31/07","2991"
"01/08","3153"
"02/08","3338"
"03/08","3539"
"04/08","3719"
"05/08","3957"
"06/08","4160"
"07/08","4493"
"08/08","4731"
"09/08","5004"
"10/08","5333"
"11/08","5635"
"12/08","5878"
"13/08","6210"
"14/08","6585"
"15/08","6980"
"16/08","7451"
"17/08","7924"
"18/08","8436"
"19/08","8937"
"20/08","9497"
"21/08","10206"
"22/08","10942"
"23/08","11661"
"24/08","12300"
"25/08","13145"
"26/08","14037"
"27/08","14,888"
"28/08","15,737"
"29/08","16,855"
"30/08","18,037"
"31/08","19,123"
"01/09","20,243"
"02/09","21,476"
"03/09","22,765"
"04/09","24,281"
"05/09","25,588"
"06/09","26,736"
"07/09","27,795"
"08/09","29,084"
"09/09","30,423"
"10/09","16,743"
"11/09","17,611"
"12/09","17,900"
"13/09","18,442"
"14/09","18,552"
"15/09","18,682"
"16/09","18,954"
"17/09","19,186"
"18/09","19,525"
"19/09","19,593"
"20/09","19,576"
"21/09","19,481"
"22/09","19,327"
"23/09","19,377"
"24/09","19,582"
"25/09","19,805"
"26/09","19,941"
"27/09","20,094"
"28/09","20,289"
"29/09","20,538"
"30/09","21,428"
"01/10","21,115"
"02/10","21,476"
"03/10","21,382"
"04/10","22,165"
"05/10","23,377"
"06/10","23,067"
"07/10","23,406"
"08/10","24,914"
"09/10","24,986"
"10/10","25,775"
"11/10","26,279"
"12/10","27,249"
